"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","screenName","retweetCount","retweeted","c_hour","c_weekday","c_monthday","source","mobile_source"
"43","@JetBlue we're on the way to FLL! 2 hours late, but heading in the right direction! #homesweethome",FALSE,1,"JetBlue",2016-09-29 22:26:58,FALSE,"781580312178483200","781621318429138944","6449282","OlgaAnnaPeddie",0,FALSE,17,4,29,"Twitter for iPhone",TRUE
"44","Dear @JetBlue  where those $20 tickets at.. I didn't see any... was this a cruel joke ?",FALSE,1,NA,2016-09-29 22:26:46,FALSE,NA,"781621265433976832",NA,"1MissMela",1,TRUE,17,4,29,"Twitter for Android",TRUE
"45","@shmadison NOT friendship, @JetBlue!!",FALSE,1,"shmadison",2016-09-29 22:21:52,FALSE,"781619737373450240","781620031956262912","60741476","Max_Nicholson",0,FALSE,17,4,29,"Twitter Web Client",FALSE
"46","@taraplastock @JetBlue We're happy to be there for you, Tara.",FALSE,1,"taraplastock",2016-09-29 22:21:40,FALSE,"781618450389147648","781619983889604608","96668578","GooseIsland",0,FALSE,17,4,29,"Twitter Web Client",FALSE
"47","@Max_Nicholson @JetBlue as our boy Paul would say: PISSED!!!!!!!!!!",FALSE,1,"Max_Nicholson",2016-09-29 22:20:41,FALSE,"781618936043466752","781619737373450240","38289688","shmadison",0,FALSE,17,4,29,"Twitter for iPhone",TRUE
"48","Thanks to @JetBlue, I'll be missing the first full day of #ACLFest (&amp; Radiohead). So, NO Paranoid Android, NO pitchers of beer, &amp; lots of <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A1>",FALSE,2,NA,2016-09-29 22:19:19,FALSE,NA,"781619392954060800",NA,"shmadison",0,FALSE,17,4,29,"Twitter for iPhone",TRUE
"49","@shmadison @JetBlue Nooooooooo.",FALSE,0,"shmadison",2016-09-29 22:17:30,FALSE,NA,"781618936043466752","60741476","Max_Nicholson",0,FALSE,17,4,29,"Twitter Web Client",FALSE
"50","Big day of meetings and now a delayed flight. Saving myself with some @GooseIsland #beer #Jetsetter #travellife @JetBlue",FALSE,0,NA,2016-09-29 22:15:34,FALSE,NA,"781618450389147648",NA,"taraplastock",1,TRUE,17,4,29,"Twitter for iPhone",TRUE
"51","@Z147 reserve at https://t.co/77L680c5Mr Aguadilla Vacation Rental Las Delicias #surf #beach #sunset @JetBlue BQN… https://t.co/k0jogeWekx",FALSE,1,"Z147",2016-09-29 22:10:14,TRUE,NA,"781617107251372032","136675746","Z147",1,TRUE,17,4,29,"Twitter for iPhone",TRUE
"52","@JetBlue @Gerald_RPR Que directos son...",FALSE,0,"JetBlue",2016-09-29 22:07:48,FALSE,"781614343205117952","781616495503835136","6449282","Miguelpimentel",0,FALSE,17,4,29,"TweetDeck",FALSE
"53","@simkosays @GooGooClusters Yes...@JetBlue take me away...#chocolatefix",FALSE,2,"simkosays",2016-09-29 22:05:07,FALSE,"781613025723871232","781615820174610432","15341480","DanaHFreeman",0,FALSE,17,4,29,"TweetDeck",FALSE
"54","*lo bloquean* RT @Gerald_RPR: Srs @JetBlue se puede cambiar tweets por boletos aéreos? Es para un amigo...",FALSE,0,NA,2016-09-29 21:56:26,FALSE,NA,"781613634497699840",NA,"katymvv",0,FALSE,16,4,29,"TweetCaster for Android",TRUE
"55","Enjoying @JetBlue hospitality from @martysg for a good cause at #Swingforgood at Bethpage NY https://t.co/wT26vxRgW0",FALSE,1,NA,2016-09-29 21:56:15,FALSE,NA,"781613585290125312",NA,"TGoodmann",0,FALSE,16,4,29,"Twitter for iPhone",TRUE
"56","Last year group travel/sports team round trip…NY/Orlando on @JetBlue $396.00. This year $909.00! Cheaper fuel prices…INSANE!  #NoMoreJetBlue",FALSE,0,NA,2016-09-29 21:55:10,FALSE,NA,"781613315239837696",NA,"equisponse",0,FALSE,16,4,29,"Twitter Web Client",FALSE
"57","Where do I file a complaint?! @jetblue",FALSE,0,NA,2016-09-29 21:54:32,FALSE,NA,"781613154337947648",NA,"_sLh86",0,FALSE,16,4,29,"Mobile Web (M5)",TRUE
"58","Srs @JetBlue se puede cambiar tweets por boletos aéreos? Es para un amigo...",FALSE,0,NA,2016-09-29 21:53:49,FALSE,NA,"781612975589355520",NA,"Gerald_RPR",0,FALSE,16,4,29,"Twitter for Android",TRUE
"59","@JetBlue super friendly and conversational &amp; made a real effort to accommodate me and every other passenger on board!",FALSE,0,"JetBlue",2016-09-29 21:52:21,FALSE,"781608691187548160","781612607367151616","6449282","LoganSeth",0,FALSE,16,4,29,"Twitter for iPhone",TRUE
"60","@JetBlue On JetBlue flight now. Bought ""FlyFi+ internet"" for $18. Worse than free internet? Too slow 4 hulu, no ""Fl… https://t.co/sfrPxgKRia",FALSE,0,"JetBlue",2016-09-29 21:51:09,TRUE,NA,"781612302374170624","6449282","MattHudnall",0,FALSE,16,4,29,"Twitter Web Client",FALSE
"61","@JetBlue It's never working, and its usually the only channel that has something good on during my flight -_-. This needs to be fixed",FALSE,0,"JetBlue",2016-09-29 21:50:33,FALSE,"781593524445843456","781612153962921984","6449282","drunken_bravado",0,FALSE,16,4,29,"Twitter Web Client",FALSE
"62","my @jetblue flight delayed for the second time today",FALSE,0,NA,2016-09-29 21:49:14,FALSE,NA,"781611821396623360",NA,"sMidoit",0,FALSE,16,4,29,"Mobile Web (M5)",TRUE
"63","@JetBlue <ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>",FALSE,0,"JetBlue",2016-09-29 21:47:33,FALSE,"781611289529450496","781611399302610944","6449282","DonovanDijak",0,FALSE,16,4,29,"Twitter for iPhone",TRUE
"64","@JetBlue Yes. $83 was refunded. Just booked @AmericanAir for tonight ON MY OWN for 295.10. Are you paying the difference?",FALSE,0,"JetBlue",2016-09-29 21:44:35,FALSE,"781608079972507648","781610651022086144","6449282","EdTxAnn",0,FALSE,16,4,29,"TweetDeck",FALSE
"65","@JetBlue Hello, just wanted to make sure my DM went through. Thanks!",FALSE,0,"JetBlue",2016-09-29 21:42:02,FALSE,NA,"781610007955697664","6449282","DonovanDijak",0,FALSE,16,4,29,"Twitter for iPhone",TRUE
"66","<ed><U+00A0><U+00BD><ed><U+00B1><U+00BB> @HilaryDuff on Snapchat: This is the new spa @JetBlue https://t.co/AUWt6WcnKG",FALSE,4,NA,2016-09-29 21:35:37,FALSE,NA,"781608393131847680",NA,"HilaryNews",1,TRUE,16,4,29,"Twitter for Android",TRUE
"67","@JetBlue Where can I file a complaint??? This bag is only 2 months and cost me $200 dollars https://t.co/iCFb3Dk56d",FALSE,0,"JetBlue",2016-09-29 21:33:47,FALSE,NA,"781607933503213568","6449282","GrizzyT",0,FALSE,16,4,29,"Echofon",FALSE
"68","@JetBlue this is the worst",FALSE,0,"JetBlue",2016-09-29 21:31:59,FALSE,"781607034554871808","781607481587793920","6449282","BaiMorrell",0,FALSE,16,4,29,"Twitter for iPhone",TRUE
"69","@JetBlue come pick me up from Houston lol. We need more deals departing from Houston",FALSE,0,"JetBlue",2016-09-29 21:29:13,FALSE,"781606424577241088","781606782015635456","6449282","miss_kelley",0,FALSE,16,4,29,"Twitter for Android",TRUE
"70","@JetBlue Yes. Next flight is tomorrow night. #toolate She would not help get me on another airline tonight. #veryunhappy",FALSE,0,"JetBlue",2016-09-29 21:28:58,FALSE,"781606127075205120","781606722611720192","6449282","EdTxAnn",0,FALSE,16,4,29,"TweetDeck",FALSE
"71","@JetBlue might have the best service of any airline I've flown with. Edi was great! #jetbluesofly",FALSE,0,"JetBlue",2016-09-29 21:28:47,FALSE,NA,"781606673194553344","6449282","LoganSeth",0,FALSE,16,4,29,"Twitter for iPhone",TRUE
"72","@JetBlue plane is freezing cold! Didn't think I'd need my winter coat to travel south! #brrrr",FALSE,0,"JetBlue",2016-09-29 21:27:24,FALSE,NA,"781606326090670080","6449282","sllr12",0,FALSE,16,4,29,"Twitter for iPad",TRUE
"73","When your flight is 3 HOURS DELAYED WTF @JetBlue",FALSE,1,NA,2016-09-29 21:26:33,FALSE,NA,"781606113162645504",NA,"BaiMorrell",1,TRUE,16,4,29,"Twitter for iPhone",TRUE
"74","@JetBlue expand to Houston",FALSE,0,"JetBlue",2016-09-29 21:23:38,FALSE,NA,"781605377662005248","6449282","miss_kelley",0,FALSE,16,4,29,"Twitter for Android",TRUE
"75","Oops! is inadequate @jetblue! Very disappointed you won't help me get to my destination tonight. #badcustomerservice https://t.co/Jx76w4Rif6",FALSE,1,NA,2016-09-29 21:23:37,FALSE,NA,"781605374717665280",NA,"EdTxAnn",0,FALSE,16,4,29,"Twitter for iPhone",TRUE
"76","When ur flight is delayed 100 hours for no good reason w/ angry customer service as if YOU did smthng wrong u get s… https://t.co/LmOxabrpZ2",FALSE,0,NA,2016-09-29 21:20:05,TRUE,NA,"781604486636863488",NA,"MarlaSanford",1,TRUE,16,4,29,"Twitter for iPhone",TRUE
"77","Thank you, @JetBlue, for being a part of our 20th Annual Courage Awards. We are proud to have you with us. #AVPCourage",FALSE,2,NA,2016-09-29 21:15:15,FALSE,NA,"781603267264516096",NA,"antiviolence",1,TRUE,16,4,29,"Hootsuite",FALSE
"78","@JetBlue I'm on 918 delayed and c/w 381 BOS-RIC. Need 2 get there tonight. Help!",FALSE,0,"JetBlue",2016-09-29 21:13:26,FALSE,NA,"781602812899627008","6449282","Jep40Simba",0,FALSE,16,4,29,"Twitter for iPhone",TRUE
"79","@Jetblue I am so fed up right now; This is insanity! Ive loved ur airline for so long and the disorganization &amp; service rt now is horrible",FALSE,0,"JetBlue",2016-09-29 21:11:30,FALSE,"781597186102530048","781602324821180416","6449282","MarlaSanford",0,FALSE,16,4,29,"Twitter for iPhone",TRUE
"80","@JetBlue",FALSE,0,"JetBlue",2016-09-29 21:10:48,FALSE,NA,"781602149402681344","6449282","Jep40Simba",0,FALSE,16,4,29,"Twitter for iPhone",TRUE
"81","@JetBlue hit me w the ""ayo fly even more space for free"". me ""bet""",FALSE,0,"JetBlue",2016-09-29 21:09:29,FALSE,NA,"781601819646631936","6449282","FrankSuhbrami",0,FALSE,16,4,29,"Twitter for iPhone",TRUE
"82","Fried chicken worth flying in for!
@NO_Airport @united @SouthwestAir @AmericanAir @JetBlue @Allegiant https://t.co/o5SnU0shdp",FALSE,0,NA,2016-09-29 21:08:11,FALSE,NA,"781601492600053760",NA,"WildBillonTV",0,FALSE,16,4,29,"Twitter Web Client",FALSE
"83","@Eaglewing5_ @JetBlue @UConnFootball you got big engine you try to go fast. We use the brakes. Easier to slow somebody down than speed em up",FALSE,0,"Eaglewing5_",2016-09-29 21:05:59,FALSE,"781596934473736192","781600938368696320","1666513309","Thephotodawg",0,FALSE,16,4,29,"Twitter for iPhone",TRUE
"84","8th Annual Swing for Good Golf Classic fundraising initiative https://t.co/5b3PLrozKT @JetBlue #BidforGood",FALSE,0,NA,2016-09-29 21:05:33,FALSE,NA,"781600827798654976",NA,"jonshrair1",0,FALSE,16,4,29,"Twitter Web Client",FALSE
"85","I am going to stick with @SouthwestAir from now on because this god awful customer service and delay with @JetBlue is completely ridiculous",FALSE,4,NA,2016-09-29 21:05:04,FALSE,NA,"781600704318148608",NA,"bugglyboo21",0,FALSE,16,4,29,"Twitter for Android",TRUE
"86","@JetBlue I've spent 7 hours on the phone in total and am being offered less than half the cost of the damage. Never flying blue again.",FALSE,0,"JetBlue",2016-09-29 21:02:15,FALSE,"781599781021970432","781599997682970624","6449282","maxisnow",0,FALSE,16,4,29,"Twitter Web Client",FALSE
"87","Realizing again how brilliant @JetBlue T5 is. I can't name the # of a single other airline terminal. And they have great salads. &lt;3",FALSE,2,NA,2016-09-29 20:59:01,FALSE,NA,"781599184583524352",NA,"AriaIrene",1,TRUE,15,4,29,"Twitter for iPhone",TRUE
"88","Getting on a @JetBlue flight, my favorite airline!",FALSE,0,NA,2016-09-29 20:51:47,FALSE,NA,"781597362930212864",NA,"billtaverner",0,FALSE,15,4,29,"Twitter for iPhone",TRUE
"89","After the debacle with American yesterday, I'll say thx to @JetBlue &amp; kudos to customer service rep Blake for great service today.",FALSE,2,NA,2016-09-29 20:51:07,FALSE,NA,"781597194109476864",NA,"shelstah",2,TRUE,15,4,29,"Twitter Web Client",FALSE
"90","@thephotodawg @jetblue @uconnfootball  UCONN's Diaco will try to slow the game so it doesn't look as bad as the offense really is",FALSE,0,"Thephotodawg",2016-09-29 20:50:05,FALSE,"781247004391317504","781596934473736192","215297804","Eaglewing5_",0,FALSE,15,4,29,"Mobile Web (M5)",TRUE
"91","Our fave @JetBlue flight attendant popped in Hospitality&amp;Tourism class today to share her new career! Congrats to M… https://t.co/UwE4toeLZP",FALSE,1,NA,2016-09-29 20:49:19,TRUE,NA,"781596743108468736",NA,"EBuchFCCLA",0,FALSE,15,4,29,"Twitter for Android",TRUE
"92","I see you, boo! Thanks for flying with us. <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> #JetBlueMint @JetBlue @HilaryDuff https://t.co/m4VxEwInt1",FALSE,2,NA,2016-09-29 20:49:14,FALSE,NA,"781596722090749952",NA,"saltrejo",0,FALSE,15,4,29,"Twitter for iPhone",TRUE
"93","Window seat, @DzLive_? @JetBlue knows it's all about the legroom with the isle seat! https://t.co/9Sl5zSZ727",FALSE,7,NA,2016-09-29 20:48:09,FALSE,NA,"781596447401705472",NA,"Teacloc",0,FALSE,15,4,29,"Twitter for Android",TRUE
"94","@JetBlue told a ""weather delay"" however every other airline is on time.Customer service is terrible - talked down to at every desk..On &amp; on",FALSE,0,"JetBlue",2016-09-29 20:46:33,FALSE,"781584650829529088","781596047277711360","6449282","MarlaSanford",0,FALSE,15,4,29,"Twitter for iPhone",TRUE
"95",".@HilaryDuff on Snapchat: This is the new spa at @JetBlue https://t.co/OHhIU2jnBh",FALSE,48,NA,2016-09-29 20:43:20,FALSE,NA,"781595235663155200",NA,"HilaryUpdate",29,TRUE,15,4,29,"Twitter Web Client",FALSE
"96","@JetBlue wish I was able to fly with you today but it wasn't in the cards. Thanks for accommodating me beautifully in a stressful situation",FALSE,0,"JetBlue",2016-09-29 20:41:44,FALSE,NA,"781594834708475904","6449282","TheNewIan",0,FALSE,15,4,29,"Twitter for iPhone",TRUE
"97","Wheels up in about 15 minutes @jetblue -&gt; #PRBC16 bound! #1stBoricuaBlogger is going back to where the inspiration… https://t.co/oMFUOTltsR",FALSE,7,NA,2016-09-29 20:35:09,TRUE,NA,"781593178810048512",NA,"urbanjibaro",3,TRUE,15,4,29,"Twitter for iPhone",TRUE
"98","@JetBlue WHY DOES BRAVO NEVER WORK ON YOUR FLIGHTS ITS SO ANNOYING",FALSE,0,"JetBlue",2016-09-29 20:33:45,FALSE,NA,"781592826643701760","6449282","drunken_bravado",0,FALSE,15,4,29,"Twitter for iPhone",TRUE
"99",".@JetBlue joins hands with @OracleMktgCloud to enable personalized messaging. https://t.co/D4jkeLUGHz #OracleEmp https://t.co/adHmU9EiM7",FALSE,0,NA,2016-09-29 20:31:22,FALSE,NA,"781592224270168064",NA,"marlo22",0,FALSE,15,4,29,"VoiceStorm",FALSE
"100","Hey, @JetBlue your surveys for points system never allows me to actually take a survey! What's up with that?",FALSE,0,NA,2016-09-29 20:29:17,FALSE,NA,"781591701186019328",NA,"skydiver_jim",0,FALSE,15,4,29,"Twitter for Android",TRUE
"101","@Joe_Gatto @Delta @JetBlue @AmericanAir @VirginAmerica @united",FALSE,0,"Joe_Gatto",2016-09-29 20:24:41,FALSE,"781544049232715776","781590544128417792","473493882","QSalfan",0,FALSE,15,4,29,"Twitter for Android",TRUE
"102","@JetBlue understandable and unfortunate in the case. Might consider letting the FAA know their mitigation strategy may be ineffective.",FALSE,0,"JetBlue",2016-09-29 20:24:05,FALSE,"781589870724743168","781590393385283584","6449282","Tahoe_Sushi",0,FALSE,15,4,29,"Twitter for iPhone",TRUE
"103","@JetBlue if what I understand is the cause of these fires is true, then the FAA is providing dangerous advice.",FALSE,0,"JetBlue",2016-09-29 20:19:28,FALSE,"781588136392527872","781589230225133568","6449282","Tahoe_Sushi",0,FALSE,15,4,29,"Twitter for iPhone",TRUE
